"Juan Naranjo","p"
"Julia Scher","p"
"Justícia i Pau, Pax Christi","o"
"K.Szafraniec","p"
"Karin Koch","p"
"Ken MacLeod","p"
"Kestner-Gesellschaft","o"
"Khadim Jihad Hassan","p"
"Khalil Hanoun","p"
"Kino Polska","p"
"Klein, W.","p"
"Konic Audiovisuals","o"
"Koutaiba Al-Janabi","p"
"Kristin Ross ","p"
"Krzysztof Kieslowski","p"
"Kunstverein","o"
"Kzysztof Wodiczko ","p"
"L´incitation à la création. Centre international de création artistique","o"
"L. Boguszewsky","p"
"L'Auditori","o"
"L*s Chic*s de Gracia","o"
"La Calle","o"
"La Mulassa Sala d'Art","o"
"La Polígrafa","o"
"La Sept ARTE","o"
"Lars Müller","p"
"Latif Al-Ani","p"
"Laurence Rassel","p"
"Lazar-Vernet","o"
"Lázló Moholy-Nagy","p"
"Le vent d'Arles","o"
"Leah William","p"
"Leslie Thornton","p"
"Lestner-Gesellschaft","o"
"Leyla Zana","p"
"Linda Valdés","p"
"Lisa Parks","p"
"Lisl Ponger","p"
"Lobster Films","o"
"London Film Makers","o"
"Lucas Caraba","p"
"Luciano Figuereiro","p"
"Lula Vanderlei","p"
"lulu Martorell","p"
"LUX (www.lfmc.org)","o"
"Lynne Cooke","p"
"Llorenç Torrada","p"
"Llorenç Torrades","p"
"Lluís Codina","p"
"Lluis M. Güell","p"
"M, Hannover","o"
"M. Kuczminski","p"
"Ma Dolors Tapias","p"
"madeinbarcelona","o"
"Madjiguène Cissé","p"
"Maeght","o"
"Mahmoud Hojeij","p"
"Maite Ninou","p"
"Maja Bajevic","p"
"Manel Tomàs","p"
"Manuel Delgado","p"
"Manuel J. Borja-Villel","p"
"Marc Dalmau","p"
"Marcel Broodthaers","p"
"Marcelin Pleynet","p"
"Marcelo Expósito","p"
"Marga Lobo","p"
"Mari Paz Balibrea","p"
"María Luisa Daglla","p"
"Marika Moisseeff","p"
"Marina Gustà","p"
"Mário Carneiro","p"
"Mario Marret","p"
"Marisa García Vergara","p"
"Marker","p"
"Marta Jackson Gallery, Nova York","o"
"Martin Kuns","p"
"Marwan Rechmaoui","p"
"Mary Lampson","p"
"Marysia Lewandowska","p"
"Massimo Bartolini","p"
"Matt Morello","p"
"Matt Mullican","p"
"Maurice Lemaître","p"
"Maya Mikdashi","p"
"Maysoon Pachachi","p"
"Mendel Art Gallery i Saskatoon","o"
"Merce Cunningham","p"
"Merce Cunningham Foundation","o"
"Mestres per Bòsnia","o"
"Metalienados","o"
"MICA TV","o"
"Michael Blackwood","p"
"Michael Taussig","p"
"Michel Andrieu ","p"
"Michel Balague","p"
"Michel Desrois","p"
"Michel khleifi","p"
"Michel Lasserre","p"
"Michel Stefanowskiu","p"
"Michelangela Pistoletto","p"
"Mika Vainio","p"
"Ministerio de Cultura","o"
"Ministière de la Culture","o"
"Miquel Barceló","p"
"Miquel Monfort","p"
"Miquel Tàpies","p"
"Mireia Sentis","p"
"Mirror Art Media","o"
"Modesto Pérez Redondo","p"
"Moh'a Soueia","p"
"Mohammad Soueid","p"
"Mohieddin Ellabbad","p"
"Momento!Sourat Films ","o"
"Mona Abaza","p"
"Montse Romaní","p"
"Multiplicity","o"
"Mundiarte","o"
"Muntadas","p"
"Murad Daguestani","p"
"Musée d'Art Moderne de la Ville de Paris","o"
"Musée de l'Abbaye de Sainte-Croix, Les Sables d'Olonne","o"
"Museu Municipal","o"
"N. Farhid","p"
"Nabil Abdel Fattah","p"
"Naji Assi","p"
"Nalo Hopkinson","p"
"National Museum of African Art","o"
"Neil Cummings","p"
"Nestor Almendros","p"
"Neue Berliner Kunstverein i Nationalgalerie, Berlín","o"
"Nick Stewart","p"
"Noemí Cohen","p"
"Nuria Enguita Mayo","p"
"O. Lazar - Vernet","o"
"Oktay Ince","p"
"Omar Amiralay","p"
"Omnibus  BBC","o"
"Oscar Blanco","p"
"P.E.N. Club Internacional","o"
"P.S.U.C (Partit Socialista de Catalunya)","o"
"Pamela Sepúlveda","p"
"Paola Yacoub","p"
"Papers d'Art/Albert Ferrer, Editor","o"
"Pedro G. Romero",
"Pep Dardanyà","p"
"Pepo Salazar","p"
"Pere Gimferrer","p"
"Pere Llop","p"
"Perejaume","p"
"Peter Land","p"
"Peter Wollen","p"
"Phil Cohen","p"
"Pierre Clémenti","p"
"Pierre-Jean Luizard","p"
"Plataforma en Defense de l’Ebre","o"
"Plataforma per la Llengua, Barcelon","o"
"PLUG","o"
"Polígrafa ","o"
"Polyfilm Verleih","p"
"Pratibha Parmar","p"
"Precarias a la deriva","o"
"Propyläen Verlag","o"
"Rabih Mroué","p"
"Rachel Reupke","p"
"Rafel Torrella","p"
"Ramon Alberch","p"
"Rámon Colomina","p"
"Ramon Millà","p"
"Ramón Parramón","p"
"Rana Javadi","p"
"Randi Steinberger","p"
"Raquel Pelta","p"
"Rashad Salim","p"
"RECORD Productions","o"
"René Block","p"
"René Clair","p"
"Renée Green","p"
"Resnais, A.","p"
"Ria Verhaeghe","p"
"Richard Kinon","p"
"Richard Wolheim","p"
"Robert Hobbs","p"
"Robert Rosenblum","p"
"Robert Storr","p"
"Rogelio López Cuenca","p"
"Rosa Pera","p"
"RTVE","o"
"Saadi Youssef","p"
"Saafa Fathy","p"
"Sadie Benning","p"
"Sala Gaspar","o"
"Sala Pelaires","o"
"Salam Pax","p"
