"any","autor","persona/organització","Codi arxiu digital","contingut","durada","exposició","format","Idioma","notes","núm. inv.","productor","títol"
,"Josep Lluís Mateo, Noemí Cohen, Joan Roca i Albert","p",,"Conferència realitzada a la Fundació Antoni Tàpies l’11 de juny de 2007","02:09:10","Projecte Majories Urbanes 1900-2025
La construcció fotogràfica de Barcelona","CD (àudio Mp3)","català, castellà",,429,,"Fotografia, ciència social i ciutadania. La cerca de noves representacions pel canvi de segle: Barcelona, una geografia virtual"
2007,"Josep Lluís Mateo, Noemí Cohen, Joan Roca i Albert","p",,"Conferència realitzada a la Fundació Antoni Tàpies l’11 de juny de 2007","02:09:10","Projecte Majories Urbanes 1900-2025
La construcció fotogràfica de Barcelona","CD (àudio Mp3)","català, castellà","còpia",430,,"Fotografia, ciència social i ciutadania. La cerca de noves representacions pel canvi de segle: Barcelona, una geografia virtual"
2008,"Nuria Enguita Mayo, Ibon Aranberri","p",,"Entrevista de Nuria Enguita a Ibon Aranberri realitzada a Torí el març de 2008.
","02:37:28","Ibon Aranberri. Organigrama","CD (àudio Mp3)","castellà","volum baix",431,,"Entrevista de Nuria Enguita Mayo a Ibon Aranberri"
2008,"Nuria Enguita Mayo, Ibon Aranberri","p",,"Entrevista de Nuria Enguita a Ibon Aranberri realitzada a Torí el març de 2008.","02:37:28","Ibon Aranberri. Organigrama","CD (àudio Mp3)","castellà","volum baix
còpia",432,,"Entrevista de Nuria Enguita a Ibon Aranberri"
2007,"Ursula Biemann, Nuria Enguita Mayo, Carles Guerra, Angela Melitopoulos","p",,"Presentació de l’esposició Zona B: als marges d’Europa realitzada a l’auditori de la Fundació Antoni Tàpies el 10 de març de 2007.","02:48:35","Zona B: als marges d’Europa","DVD","castellà, anglès","qualitat audio: regular",433,,"Presentació de Zona B: als marges d’Europa"
2007,"Ursula Biemann, Nuria Enguita Mayo, Carles Guerra, Angela Melitopoulos","p",,"Presentació de l’esposició Zona B: als marges d’Europa realitzada a l’auditori de la Fundació Antoni Tàpies el 10 de març de 2007.","02:48:35","Zona B: als marges d’Europa","DVD","castellà, anglès","qualitat audio: regular",434,,"Presentació de Zona B: als marges d’Europa"
2007,"Hamid Dabashi","p",,"Conferència realitzada a la Fundació Antoni Tàpies el 28 de setembre de 2008. Presentació del conferenciant a càrrec de Catherine David.","00:51:27","Bahman Jalali","DVD","anglès","qualitat audio regular",435,,"Conferència: Bahman Jalali i la creació de la modernitat estètica iraniana"
2007,"Hamid Dabashi","p",,"Conferència realitzada a la Fundació Antoni Tàpies el 28 de setembre de 2008. Presentació del conferenciant a càrrec de Catherine David.","00:51:27","Bahman Jalali","DVD","anglès","qualitat audio regular
còpia",436,,"Conferència: Bahman Jalali i la creació de la modernitat estètica iraniana"
2007,"Lisa Parks","p",,"Conferència realitzada a la Fundació Antoni Tàpies el 21 de març de 2007.
","01:05:52","Zona B: als marges d’Europa","DVD","anglès",,437,,"Conferència: Senyals mixtos: infraestructures mediàtiques i geografies culturals als afores d’Europa"
2007,"Lisa Parks","p",,"Conferència realitzada a la Fundació Antoni Tàpies el 21 de març de 2007.","01:05:52","Zona B: als marges d’Europa","DVD","anglès","còpia",438,,"Conferència: Senyals mixtos: infraestructures mediàtiques i geografies culturals als afores d’Europa"
2007,"Joan Roca i Albert, Jorge Ribalta","p",,"Conferència realitzada a la Fundació Antoni Tàpies el 18 de juny de 2007","01:43:47","Projecte Majories Urbanes 1900-2025
La construcció fotogràfica de Barcelona","MiniDV","català","són 2 MiniDV",439,,"Conferència: La Missió Fotogràfica Barcelona 2007. Qüestions de mètode en la creació i la circulació de les imatges"
2007,"Joan Roca i Albert, Jorge Ribalta","p",,"Conferència realitzada a la Fundació Antoni Tàpies el 18 de juny de 2007","01:43:47","Projecte Majories Urbanes 1900-2025
La construcció fotogràfica de Barcelona","DVD","català",,440,,"Conferència: La Missió Fotogràfica Barcelona 2007. Qüestions de mètode en la creació i la circulació de les imatges"
2007,"Joan Roca i Albert, Jorge Ribalta","p",,"Conferència realitzada a la Fundació Antoni Tàpies el 18 de juny de 2007","01:43:47","Projecte Majories Urbanes 1900-2025
La construcció fotogràfica de Barcelona","DVD","català","còpia",441,,"Conferència: La Missió Fotogràfica Barcelona 2007. Qüestions de mètode en la creació i la circulació de les imatges"
2008,"Hélène Raymond","p",,"Conferència realitzada a l’auditori de l’Institut Francès de Barcelona el 20 de maig de 2008.","01:13:16","Amb i contra el cinema. Entorn del Maig del 68","CD (àudio mp3)","castellà, francès",,442,,"Conferència a càrrec d’Hélène Raymond. Cicle amb i contra el cinema"
