"any","Codi arxiu digital","duració","exposició","intal.lació","núm. inventari","observacions","préstec","productor",,"qualitat","Realització",,"so","status","suport","tipus","títol"
"1998",,"00:50:00","Arquitectures del discurs",,464,"video que formava part de la contribució de Virginia Villaplana. Són cintes propietat de la FAT, comprades, poden ser utilitzades.",,"Video Data Bank (The School - The Art Institute of Chicago)","o",,"Sadie Benning","p","si","1/1","VHS PAL","color","Flat is Beautiful"
"1998","051_FV7_C016_NI523","00:50:00","Arquitectures del discurs",,523,,"Babuin, digitalització (gener 2011)","Video Data Bank (The School - The Art Institute of Chicago)","o",,"Sadie Benning","p","si","2/2","VHS","color","Flat is Beautiful"
,"061_FV7_C016_NI549","02:04:00","Indivisuals","Layover",549,"En la caja pone airport export per dentro hay otra copia de Foreground People.","Babuin, digitalització (gener 2011)",,,"buena","David Hoffos","p","sonido","1/2","vhs","color","Foreground People"
"2003, Iraq Suïssa",,"01:51:00","Representacions àrabs contemporànies. L’equació iraquiana",,674,"Ubicació: despatx Miquel, arxiu RAC",,"Samir, Karin Koch, Gerd Haag","p, p, p",,"Samir","p","Anglès, subtítols en castellà",,"DVD
","Documental","Forget Baghdad"
,"051_FV7_C016_NI518","01:30:00","Arquitectures del discurs",,518,"còpia utilitzada per a l'exposició","Babuin, digitalització (gener 2011)","Babuin","o",,"Fundació Antoni Tàpies","o","si","1/1","VHS","color","Fòrum de la Ribera del Besòs"
"1978, 1978, 1982, 1983","038_FV7_C016_NI265","02:02:00","Merce Cunningham",,265,"és una còpia del màster","Babuin, digitalització (gener 2011)","Merce Cunningham Dance Foundation (Nova York)","o",,,,,"1/2","VHS",,"Fractions I
Merce by Merce by Paik
Channels/Inserts
Coast Zone"
"1994","044_FV7_C016_NI379",,"Rainer Oldendorf","Free Cinema",379,"Llorenç Torrades","Babuin, digitalització (gener 2011)",,,,"Rainer Oldendorf","p","si","1/1","VHS PAL","color","Free Cinema / Riksbioscoop"
"1994, 1998, 1995-97, 1998-00","044_FV7_C017_NI395","00:14:00","Rainer Oldendorf",,395,"extractes per a PREMSA
Llorenç Torrades","Babuin, digitalització (gener 2011)",,,,,,"si","1/3","VHS","color","Free Cinema Riksbioscoop, Smoke Rings, Marco 1 a 5, Marco 6 a 9"
"1994, 1998, 1995-97, 1998-00","044_FV5_C017_NI396","00:14:00","Rainer Oldendorf",,396,"extractes per a PREMSA","Babuin, digitalització (desembre 2010)
DIGITALITZAT febrer 2011","Fundació Antoni Tàpies",,,"Fundació Antoni Tàpies","o","si","2/3","Betcam SP S","color","Free Cinema Riksbioscoop, Smoke Rings, Marco 1 a 5, Marco 6 a 9"
,"044_FV7_C016_NI363","02:20:00","Rainer Oldendorf","Free Cinema",363,"còpia per a exposició
Llorenç Torrades","Babuin, digitalització (gener 2011)",,,,"Rainer Oldendorf","p","si","1/2","VHS","color","Free Cinema. Films 72-81"
"1961",,"00:10:00","Tour-ismes. La derrota de la dissensió",,584,,,,,"buena","Néstor Almendros","p","con sonido","1","dvd","blanco y negro","Gente en la playa"
"1990","054_FV7_C016_NI804","00:34:00","Representacions àrabs contemporànies. Beirut  / Líban",,804,,"Babuin, digitalització (gener 2011)","Haneen Films","o",,"Mohammad Soueid","p","V.O. en àrab, subtítols en anglès",,"VHS, loop","color","Ghiyab (Absence)"
"2004
","068_FV7_C016_NI560","00:08:50","Tour-ismes. La derrota de la dissensió",,560,"original (master) pasado a vhs
","Babuin, digitalització (gener 2011)",,,,"Jorge Luis Marzo","p","con sonido","2/2","vhs","color","Grabación de Tour-ismos"
"1978",,"01:38:00 ","Amb i contra el cinema. Entorn del Maig del 68","Institut Francès de Barcelona",709,"14-19 de maig de 2008",,,,,"William Klein","p","V.O. Subtitulada en castellà","1.1","DVD b/n","Documental. PAL, 4/3. Stereo","Grands soirs et petits matins."
"1989-1998","045_FV7_C016_NI337","00:51:00","Cultures d’arxiu","Histoire(s) du cinéma de Jean-Luc Godard",337,"és un duplicat de les còpies que ells ens van deixar. 51 min. (total de totes les cintes: 4h 30min)","Babuin, digitalització (gener 2011)","Gaumont (Paris)","o",,"Jean-Luc Godard","p","si","1/1","VHS","color","Histoire(s) du cinéma nº 01 A
Toutes les histoires"
"1989-1998","045_FV7_C016_NI338","00:42:00","Cultures d’arxiu","Histoire(s) du cinéma de Jean-Luc Godard",338,"és un duplicat de les còpies que ells ens van deixar. 42 min. (total de totes les cintes: 4h 30min)","Babuin, digitalització (gener 2011)","Gaumont (Paris)","o",,"Jean-Luc Godard","p","si","1/1","VHS","color","Histoire(s) du cinéma nº 01 B
Une histoire seule"
"1989-1998","045_FV7_C016_NI339","00:26:00","Cultures d’arxiu","Histoire(s) du cinéma de Jean-Luc Godard",339,"és un duplicat de les còpies que ells ens van deixar. 26 min. (total de totes les cintes: 4h 30min)","Babuin, digitalització (gener 2011)","Gaumont (Paris)","o",,"Jean-Luc Godard","p","si","1/1","VHS","color","Histoire(s) du cinéma nº 02 A
Seul le cinéma"
"1989-1998","045_FV7_C016_NI340","00:28:00","Cultures d’arxiu","Histoire(s) du cinéma de Jean-Luc Godard",340,"és un duplicat de les còpies que ells ens van deixar. 28 min. (total de totes les cintes: 4h 30min)","Babuin, digitalització (gener 2011)","Gaumont (Paris)","o",,"Jean-Luc Godard","p","si","1/1","VHS","color","Histoire(s) du cinéma nº 02 B
Fatale beauté"
"1989-1998","045_FV7_C016_NI341","00:26:00","Cultures d’arxiu","Histoire(s) du cinéma de Jean-Luc Godard",341,"és un duplicat de les còpies que ells ens van deixar.  26 min. (total de totes les cintes: 4h 30min)","Babuin, digitalització (gener 2011)","Gaumont (Paris)","o",,"Jean-Luc Godard","p","si","1/1","VHS","color","Histoire(s) du cinéma nº 03 A
La monnaie de l'absolu"
"1989-1998","045_FV7_C016_NI342","00:27:00","Cultures d’arxiu","Histoire(s) du cinéma de Jean-Luc Godard",342,"és un duplicat de les còpies que ells ens van deixar.  27 min. (total de totes les cintes: 4h 30min)","Babuin, digitalització (gener 2011)","Gaumont (Paris)","o",,"Jean-Luc Godard","p","si","1/1","VHS","color","Histoire(s) du cinéma nº 03 B
Une nouvelle vague"
"1989-1998","045_FV7_C016_NI343","00:27:00 ","Cultures d’arxiu","Histoire(s) du cinéma de Jean-Luc Godard",343,"és un duplicat de les còpies que ells ens van deixar. 27 min. (total de totes les cintes: 4h 30min)","Babuin, digitalització (gener 2011)","Gaumont (Paris)","o",,"Jean-Luc Godard","p","si","1/1","VHS","color","Histoire(s) du cinéma nº 04 A
Le contrôle de l'univers"
"1989-1998","045_FV7_C016_NI344","00:37:00 ","Cultures d’arxiu","Histoire(s) du cinéma de Jean-Luc Godard",344,"és un duplicat de les còpies que ells ens van deixar. 37 min. (total de totes les cintes: 4h 30min)","Babuin, digitalització (gener 2011)","Gaumont (Paris)","o",,"Jean-Luc Godard","p","si","1/1","VHS","color","Histoire(s) du cinéma nº 04 B
Les signes parmi nous"
"2002",,"00:50:00","Tour-ismes. La derrota de la dissensió",,573,,,,,"Buena","Randi Steinberger","p","sonido. V.O. con subtitulos en castellano","2/2","dvd","color","Holi- days "
,"010_FV7_C016_NI01","01:00:00","Krzysztof Wodiczko. Instruments, projeccions, vehicles","Homeless Vehicle",1,"60 minuts. 3 sequències de 20 min.","28/5/01: Museu d'Art Contemporani de Barcelona
Babuin, digitalització (gener 2011)","Fundació Antoni Tàpies","o","regular","Jaguda Przybylack, Janusz Bakowsky","p, p",,"original","VHS Pal","color","Homeless Vehicle Project. Pojazd dla Bezdomnych"
"1967",,"02:01:00 (fragment 00:02:27)","Tour-ismes. La derrota de la dissensió",,562,,,,,"bona","Jag Är Nyfiken-Gul","p","V.O. en suec, subtítols en castellà i anglès","1","DVD","b/n","I am curious yellow"
"2002",,"00:08:00","Tour-ismes. La derrota de la dissensió",,563,,,,,"buena","Eduardo Díaz","p","con sonido","1/2","dvd","color","I can't get no satisfaction"
"2001",,"01:03:00","Insideout: jardí del cambalache",,499,,,"Fundació Antoni Tàpies","o","dolenta","Fundació Antoni Tàpies","o","si","1/2","VHS","color","imatges preses durant l'exposició"
"1973- 74",,"00:08:14","Anna Maria Maiolino",,819,,,"Anna Maria Maiolino","p","bona","Anna Maria Maiolino","p","sí",,"DVD Loop","color","In-Out "
"Infrastructure (2002); Surface Tension (1994-1995)
",,"00:24:00","Tour-ismes. La derrota de la dissensió",,570,"Infrastructure 14 min. ; Surface Tension 10 min.","NE 4/10/2006",,,"Buena","Rachel Reupke, Nick Stewart","p, p","sonido","1","dvd","blanco y negro","Infrastructure (Rachel Reupke); Surface Tension (Nick Stewart)"
"1976",,"00:06:30","Sanja Iveković. Alerta general. Obres 1974-2007",,638,,,,,,"Sanja Iveković","p","no",,"DVD, video, no sound, b/w, autoplay, looped",,"Instrukcije br. 1 (Instructions No. 1)"
,"047_FV7_C016_NI407","00:18:00","Eulàlia Valldosera. Obres 1990-2000","Interviewing Objects",407,"VERSIÓ SUBTITULADA. Còpia sense utilitzar. La còpia usada se li va donar a l'Eulàlia Valldosera","Babuin, digitalització (gener 2011)",,,"bona",,,"si","1/1","VHS","color","Interviewing Objects"
"2005",,"00:04:50","Representacions àrabs contemporànies. L’equació iraquiana",,681,"Passe de fotografies.
ubicació: ubicació: despatx de Miquel, arxiu RAC",,"Arab Image Foundetion (Beirut)","o","bona","Latif Al-Ani","p","no",,"DVD","Passe de fotografies","Iraq 1960 - 1969"
"2005",,"00:09:00","Registres i hàbits. Màquina de temps / imatges d’espai",,629,"DVD, color, so, 9 min
V.O. sub. en castellà",,,,,"Jeanne Faust","p",,,"DVD",,"IV"
"1957-1969
",,,"Entusiasme","Archive Lounge. Part 1",618,,,"Neil Cummings, Marysia Lewandowska","p, p","buena",,,"con sonido","1","dvd","color y blanco y negro","J & D Mackow ""regi poloniae"" 1957; R. Berr, J korcelli, Bielsko B iala ""wojciech Siemion and 140 rascals"" 1965; J. Jeruzal, Biesko Biala ""stranger"" 1967; Colletive work, Biesko Biala "" The visit of Valentina tiereszkowa"" 1968; L. Wojtala ""markowa and her word"" 1962; J. Ridan, N. Huta ""M-3"" 1969; R. kreyeser "" Pegasus"" 1963; R. Kreyeser ""jubiler"" 1964."
"1960; 1968; 1982; 1963; 1977; 1976; 1979; 1981
",,,"Entusiasme","archive lounge. Part 4",621,,,"Neil Cummings, Marysia Lewandowska","p, p","buena",,,"con sonido","1","dvd","color y blanco-negro","J Chimielewski, L. Wotjala ""Rockefellers"" 1960s; J. Oblamski, A. Stefanski ""Both are very old"" 1968; H. Lehnert ""Work and leisure"" 1982; R. Wowrynowicz, J. Jaskolski ""Toy soldiers"" 1963; Z. Walczakowski ""A rescued landscape"" 1977; M.Suchecki ""A day without a name"" 1976; W. Szewczyk ""Journey"" 1979; L. Boguszewski ""Blocade"" 1981. "
"1989?","024_FV7_C016_NI493","00:31:00","Jana Sterbak. Velleitas",,493,,,,,"bona",,,"V.O. anglès, sense subtítols","1/1","VHS","color","Jana Sterbak fent proves amb l'obra Comandament a distància I i II.
Remote Control
"
"1995, 12 gener.",,,"En l’esperit de Fluxus","activitat - acció",809,,,"Fundació Antoni Tàpies","o",,,,,,"V. 8 mm","color","Jean-Jacques Lebel - El treball de la mirada"
"2001","049_FV7_C016_NI471","02:00:00","Insideout: jardí del cambalache",,471,"còpia utilitzada durant la exposició","Babuin, digitalització (gener 2011)","Fundació Antoni Tàpies","o",,"Fundació Antoni Tàpies","o","si","1/2","VHS","color","Juicio; La patente de las judías; Pagès de capçalera; El arcano de la quina; Paradís domèstic; Banc genètic popular"
"1981","037_FV7_C016_NI182","00:06:00","Chris Marker","auditori (cicle de cinema)",182,"Còpia obtinguda pel cicle de cinema i s'ha quedat pels arxius de la FAT.","Babuin, digitalització (gener 2011)","ARGOS (distribuidora)","o",,"Chris Marker","p","bo","còpia 1/1","VHS","color","Junkopia (San Francisco)"
"1996
x",,"00:09:35","Steve McQueen",,556,,,,,,"Steve McQueen","p","no",,"Pel·lícula de 16 mm transferida a DVD","video, b/n, sense so","Just Above My Head (Just al damunt del meu cap)"
"1981",,,"Bahman Jalali",,658,"© Bahman Jalali, 2007",,,,,"Bahman Jalali","p","no",,"DVD","Diaporama b/n","Khorramshahr. La ciutat que va ser destruïda"
,"062_FV7_C016_NI793",,"Jon Mikel Euba. Kill’em all",,793,,"Babuin, digitalització (gener 2011)",,,,"Jon Mikel Euba","p",,,"VHS",,"KONTUZ KID, 2002
LOS OJOS COMO UNA BOCA, 1997
GATIKA DOBLE FINAL, 2001
PANDAMASK 1, 1997-98
NEGROS (S, M, M), 2000
PANDAMASK 2, 2000 
"
"1992","010_FV3_C016_NI446","00:53:01","Krzysztof Wodiczko. Instruments, projeccions, vehicles",,446,"Hi ha 2 còpies més (448 i 449)","Babuin, digitalització (desembre 2010)
DIGITALITZAT febrer 2011",,,,,,,,"U-matic",,"Krysztof Wodiczko Productions"
"1973 i 1984","037_FV7_C016_NI174","00:30:00","Chris Marker","auditori (cicle de cinema)",174,"Còpia fet de l'Umàtic que ens vàren deixar pel cicle. 20' i 10'","Babuin, digitalització (gener 2011)","ISKRA  (distribuidora)","o",,"Chris Marker","p","bo","còpia 1/1","VHS","color","L'ambassade i 2084: (Centenaire du Syndicalisme) (Vidéo-clip pour une réflexion syndicale et pour le plaisir)"
"2010",,"01:16:13",,,770,"Realització audiovisual Bernat Mestres.
Amb la col·laboració de la Fundació Antoni Tàpies.
Concert realitzat a L'Auditori. Sala Oriol Martorell, dimarts 19 d'octubre de 2010.",,"L'Auditori","o","Bona","Dani Espasa, bcn216","p, o","Música. Text Joan Brossa en català.",,"DVD","Color","L'armari en el mar, 1978
Josep Maria Mestres Quadreny i Joan Brossa
Escenografia Antoni Tàpies"
"1995","022_FV7_C016_NI418","01:02:05","Els límits del museu",,418,"còpia sense fi.","Babuin, digitalització (gener 2011)",,,"bona","Joan Fontcuberta","p","si",,"VHS","color","L'Artista i la Fotografia"
"1991","037_FV7_C016_NI168","01:44:00 ","Chris Marker","L'Héritage de la chouette",168,"Conté: Sympsosium ou les idees recues, Olympisme ou la grece imaginaire, Democratie ou la cite des songes, Nostalgie ou le retour impossible. 26 + 26 + 26 + 26 =  104 '","Babuin, digitalització (gener 2011)","La Sept ARTE ","o",,"Chris Marker","p","francès","còpia 1/2","VHS Pal","color","L'Héritage de la chouette [1,2,3,4] 
"
"1991","037_FV7_C016_NI170","01:44:00","Chris Marker","L'Héritage de la chouette",170,"Conté: Amnesie ou le sens de l'histoire, Mathematique ou l'empire des signes, Logomachie ou les mote de la tribu, Musique ou l'espace de dedans. 26 + 26 + 26 + 26 =  104 '","Babuin, digitalització (gener 2011)","La Sept ARTE ","o",,"Chris Marker","p","francès","còpia 1/2","VHS Pal","color","L'Héritage de la chouette [5,6,7,8] 
"
"1991","037_FV7_C016_NI172","02:10:00","Chris Marker","L'Héritage de la chouette",172,"Conté: Cosmogonie ou la verité du mensonge, Mytoghologie ou la verité du mensonge, Misogynei ou les pieges du desir, Tragedie ou l'illusion de la mort, Philosophie ou le triomphe de la chouette. 26 + 26 + 26 + 26 + 26 =  130 '","Babuin, digitalització (gener 2011)","La Sept ARTE ","o",,"Chris Marker","p","francès","còpia 1/2","VHS Pal","color","L'Héritage de la chouette [9,10,11,12,13] 
"
"2004",,"00:40:00","Tour-ismes. La derrota de la dissensió",,578,,,,,"buena","Daniel G. Andújar","p",,"1","cd de audio",,"La cultura del ladrillo ( Part 2 )"
"2004",,"00:40:00","Tour-ismes. La derrota de la dissensió",,577,,,,,"Buena","Daniel G. Andújar","p","Cd de Audio","1",,,"La cultura del ladrillo (part 1)"
"1968",,"00:12:24","Amb i contra el cinema. Entorn del Maig del 68","Institut Francès de Barcelona",715,"14-19 de maig de 2008",,,,,"Grup Medvedkine de Besançon","o","V.O. Subtitulada en castellà","4.2","DVD b/n","PAL, 4/3. Stereo","La Charnière."
"2010",,"00:06:17","La Fundació Antoni Tàpies. Procés de reforma","Nivell 2, àrea d’Arts combinatòries",749,"Iñaki Ábalos explica el procés de reforma.
CC-BY-NC-SA
Guió i direcció: Alexandra Laudo i Linda Valdés",,"Alexandra Laudo, Linda Valdés, Fundació Antoni Tàpies
","p, p, o","Bona","RECORD Productions","o","V. O. castellà, sense subtítols. Crèdits en català",,"DVD","Color","La Fundació Antoni Tàpies. Procés de reforma.
Ábalos+Sentkiewicz arquitectos, 2008-2010
"
"1962",,"00:28:00","Chris Marker","auditori (cicle de cinema)",179,"Còpia obtinguda pel cicle de cinema i s'ha quedat pels arxius de la FAT.","Cedit a la biblioteca","ARGOS  (distribuidora)","o",,"Chris Marker","p","bo","còpia 1/1","VHS","b/n","La Jetée"
"1962; 1982; 1993; 1996; ","037_FV5_C016_NI441","04:30:00","Chris Marker",,441,"entre fragment i fragment hi ha 4 segons; entre film i film, n'hi ha 8. 26 min; 100 min; 118 min; 106 min; ","Babuin, digitalització (desembre 2010)
DIGITALITZAT febrer 2011",,,,"Chris Marker","p",,,"Betacam SP S",,"La Jetée; Sans Soleil; Le Tombeau d'Alexandre / The Last Bolshevik; Level 5."
"1968",,"00:10:30 ","Amb i contra el cinema. Entorn del Maig del 68","Institut Francès de Barcelona",729,"14-19 de maig de 2008",,,,,"Jacques Willemont","p","V.O. Subtitulada en castellà","12.1","DVD b/n"," PAL, 4/3. Stereo","La reprise du travail aux usines Wonder."
"1968",,"00:23:00","Amb i contra el cinema. Entorn del Maig del 68","Institut Francès de Barcelona",722,"14-19 de maig de 2008",,,,,"Pierre Clémenti","p","V.O. Subtitulada en castellà","9.1","DVD","Pel·lícula. PAL, 4/3. Stereo","La Révolution n'est qu'un début. Continuons le combat."
,"054_FV7_C016_NI789","01:00:00","Representacions àrabs contemporànies. Beirut  / Líban",,789,,"Babuin, digitalització (gener 2011)",,,,,,,,"VHS","Loop","La rose de personne"
"1973",,"01:28:00","Amb i contra el cinema. Entorn del Maig del 68","Institut Francès de Barcelona",728,"14-19 de maig de 2008",,,,,"Guy Debord","p","V.O. Subtitulada en castellà","11","DVD b/n"," PAL, 4/3. Stereo","La société du spectacle."
"1974","037_FV7_C016_NI180","01:00:00","Chris Marker","auditori (cicle de cinema)",180,"Còpia obtinguda pel cicle de cinema i s'ha quedat pels arxius de la FAT.","Babuin, digitalització (gener 2011)","Éclair  (distribuidora)","o",,"Chris Marker","p","bo","còpia 1/1","VHS","color","La solitude du chanteur de fond (Portrait d'Yves Montand)"
"1995-2000
",,"00:35:00","Vídeos d’ocasió",,539,"Todos los videos del dvd apartenece a la sección La Tarda de la Vídeocaspa dentro de la exposición Videos d'ocasió.
babuin",,,,"buena","Peter Land, Pepo Salazar, Simon Morse, Matt Morello, David Blanco, Will Rogan","p, p, p, p, p, p","con sonido, varios idiomas","1","dvd","color y blanco y negros","La tarda de la videocáspa: Pink Space (1995), El inexpresivo escultopintor relacionado co el gobierno (1997), peer-to-peer (2001), coming soon(1995), Por un cafe (1996), One thing i can tell you is you've got to be free (2000)."
,"054_FV7_C016_NI786","02:10:00","Representacions àrabs contemporànies. Beirut  / Líban",,786,,"Babuin, digitalització (gener 2011)",,,,"Jalal Toufic Ashura","p",,,"VHS",,"Large monitor"
"1994","020_FV7_C016_NI426","00:58:14","La primera generació: dones i vídeo, 1970-1975",,426,"està en francès","Babuin, digitalització (gener 2011)","Alain Fleischer","p","bona","Alain Fleischer","p","mono",,"VHS","color","Le Cowboy et l'Indien"
"1968",,"00:52:00","Amb i contra el cinema. Entorn del Maig del 68","Institut Francès de Barcelona",718,"14-19 de maig de 2008",,,,,"Michel Andrieu, Jacques Kébadian, Grup ARC","p, p","V.O. Subtitulada en castellà","6.1","DVD b/n","Pel·lícula. PAL, 4/3. Stereo","Le Droit à la parole."
"1977","037_FV7_C016_NI175","03:00:00","Chris Marker","auditori (cicle de cinema)",175,"Còpia obtinguda pel cicle de cinema i s'ha quedat pels arxius de la FAT.","Babuin, digitalització (gener 2011)","ISKRA  (distribuidora)","o",,"Fundació Antoni Tàpies","o","bo","còpia 1/2","VHS","color","Le Fond de l'air est rouge. Primera part: Les Mains fragiles. Segona part: Les Mains coupées"
"1968",,"00:26:20","Amb i contra el cinema. Entorn del Maig del 68","Institut Francès de Barcelona",723,"14-19 de maig de 2008",,,,,"Maurice Lemaître","p","V.O. Subtitulada en castellà","9.2","DVD b/n","Pel·lícula. PAL, 4/3. Stereo","Le Soulèvement de la jeunesse en Mai 68"
"1993",,"01:58:00","Chris Marker","monitor 33' soterrani",222,"còpia usada durant l'exposició",,,,,"Chris Marker ","p","si","1/2","VHS pal","color","Le tombeau d'Alexandre / The Last Bolshevik"
"1994, 15 desembre.","021_FV7_C016_NI26","--","En l’esperit de Fluxus
","activitat - acció",26,"còpies fetes per Estudi Fornell","Babuin, digitalització (gener 2011)","Fundació Antoni Tàpies","o",,"Esther Ferrer ","p","--","còpia","VHS PAL","color","Les coses"
"1999","047_FV7_C016_NI406","01:00:00","Eulàlia Valldosera. Obres 1990-2000","Les demoiselles de Valence",406,"Còpia sense utilitzar. La còpia usada se li va donar a l'Eulàlia Valldosera","Babuin, digitalització (gener 2011)",,,"bona",,,"si","1/1","VHS","color","Les demoiselles de Valence"
"1970",,"00:16:40 ","Amb i contra el cinema. Entorn del Maig del 68","Institut Francès de Barcelona",727,"14-19 de maig de 2008",,,,,"Michel Desrois, Grup Medvedkine de Besançon","p, o","V.O. Subtitulada en castellà","10.4","DVD"," PAL, 4/3. Stereo","Lettre à mon ami Pol Cèbe."
"1996",,"01:46:00","Chris Marker","auditori (cicle de cinema)",178,"Còpia obtinguda pel cicle de cinema i s'ha quedat pels arxius de la FAT.","Cedit a la Biblioteca","ARGOS  (distribuidora)","o",,"Chris Marker","p","bo","còpia 1/1","VHS","color","Level five"
"2001
",,"00:10:0010 min","Tour-ismes. La derrota de la dissensió",,571,,,,,"Buena","Stephanie Black","p","Con sonido. V.O. con subtitulos en castellano","1","dvd","color","Life&Debt"
,"049_FV7_C016_NI469",,"Insideout: jardí del cambalache",,469,,"Babuin, digitalització (gener 2011)","RTVE","o",,"RTVE","p","si","1/1","VHS","color","Linea 900 - Al margen del dinero; Gran Angular - Intercanvi; Gran Angular - El valor del temps"
"1967",,"01:32:00 ","Amb i contra el cinema. Entorn del Maig del 68","Institut Francès de Barcelona",712,"14-19 de maig de 2008",,,,,"Jean-Luc Godard, Joris Ivens, William Klein, Claude Lelouch, Chris Marker, Alain
Resnais, Agnès Varda","p, p, p, p, p, p, p, p ","V.O. Subtitulada en castellà","3. 1/2","DVD ","PAL, 4/3. Stereo","Loin du Vietnam."
"1970-1981
x",,"00:55:45","Entusiasme",,615,,,"Neil Cummings, Marysia Lewandowska","p, p","buena","Franciszek Dzida, K. Szafraniec, H. Urban´czyk, G. Piszczek, M. Kuczminski, E. Krall, H. Urbanczyk, B. Biatek, L. Boguszewsky, Z. Zinczuk","p, p, p, p,p p, p, p, p, p","con sonido","1","dvd","blanco y negro, color","Longing: Motyle (mariposas) (1971), Karuzela (tiovivo) (1984), Plakaciarz( Cartel) (1980), Hambueg (Embaucador) 8años setenta): A czy my to Jack Tacy (Somos enrollados o no?) (1974-75), Gwiazda byc (ha nacido una estrella) (años setenta), Przed zmierzchem (antes de anochecer) (1976), Dotnak dz´wieku (tocar el sonido) (1981). "
"1995","022_FV7_C016_NI424","02:41:00","Andrea Fraser","Loving Care",424,"De Janine Antoni. Es repeteix dos cops.","Babuin, digitalització (gener 2011)","Serveis Audiovisuals Interactius","o","bona","Janine Antoni","p","soroll de fons",,"VHS","color","Loving Care"
"2004",,"00:13:23","Registres i hàbits. Màquina de temps / imatges d’espai",,695,"Primera de les quatre còpies projectades simultàneament a la FAT.
LR-01
Israel i Països Baixos",,,,"bona","Yael Bartana","p","Banda sonora: Daniel Meir",,"DVD","color","Low Relief II (Baix relleu II)"
"1997","033_FV7_C016_NI97","00:55:00.","Lygia Clark","Proposals",97,"Vídeo passat durant l'exposició en 3 monitors de 14 inches a la ""banyera"".
No usar Ligia !!","Babuin, digitalització (gener 2011)","Fundació Antoni Tàpies","o","bona","Aleix Gallardet","p","ambient","còpia 2","VHS","color","Lygia Clark Proposals. Propostes realitzades a la FAT el 18 d'octubre de 1997 (Andrea Cruz, Tomeu Gomila, Herbert Schneider, Myriam Puti, ...)"
"1997",,"00:55:00","Lygia Clark","Proposals",140,"Còpia de Umàtic núm. inv. 95 afegint crèdits de la producció de la FAT. Això es va fer per tal de deixar una còpia d'aquest al MOCA, Los Ángeles.","Babuin, digitalització (desembre 2010)","Fundació Antoni Tàpies","o","bona","Aleix Gallardet","p","ambient","original","Umàtic alta banda","color","Lygia Clark Proposals. Propostes realitzades a la FAT el 18 d'octubre de 1997."
"2001","049_FV7_C016_NI479","03:00:00","Insideout: jardí del cambalache",,479,"còpia utilitzada durant la exposició","Babuin, digitalització (gener 2011)","Fundació Antoni Tàpies","o",,"Fundació Antoni Tàpies","o","si","1/2","VHS","color","Llavors al museu; La patente de las judías; El arcano de la quina; Paradís domèstic"
"2001","049_FV7_C016_NI482","01:00:00","Insideout: jardí del cambalache",,482,"còpia utilitzada durant la exposició","Babuin, digitalització (gener 2011)","Fundació Antoni Tàpies","o",,"Fundació Antoni Tàpies","o","si","1/1","VHS","color","Llavors per l'eternitat"
,"040_FV7_C016_NI401","02:15:00","El cinema calculat","auditori",401,"cedida per Barcelona Televisió","Babuin, digitalització (gener 2011)","BTV","o",,"BTV","o","si","1/1","VHS","color","Llenguatge-màquina: permutacions: Filmblock I (random/text I/text II/ go/ orange), Poemfield 2, Permutations, Threshold, Nachtlicht, Five Improvisations, Split Decision; L'arabesc còsmic: Yantra, Radio Dynamics, Allures, Cibernetik 5.3, Piece Mandala/End War, Cosmos, Celery Stalks at Midnight, Arabesque, Sunstone, Moe's Field"
"1965-1982
x",,"01:30:00","Entusiasme","Labour",616,,,"Neil Cummings, Marysia Lewandowska","p, p","buena",,,"con sonido, idioma polaco","1","dvd","color","M. Korus y J: Ridan ""Wspótczesna Symfonia ""(Sinfonia contemporánea), 1971;A.Stefanski ""Ludzie z bazy"" (Gente de la base), 1965; Z.Zinczuk ""Ziemia"" (Tierra), 1976; A. Kreis "" Piosenka dla robotnika rennej zmiany"" (Canción para el obrero del turno matinal), 1982; T.Junak""Symbioza"" (Simbiosis), 1969; K. Janicki y M. Baranski "" Homo"", 1975; L.Wojtala ""Blisko piekta"" (Cerca del infierno), años setenta; K.Janicki y M.Baranski ""Razem"" (Juntos), 1977; Z.Dusza y I. Radz ""Petent"" (Peticionario), años setenta; T Wudzki ""Syzyfowie"" (Sisifo), 1971. "
"1978",,"00:04:35","Sanja Iveković. Alerta general. Obres 1974-2007",,644,,,"Galleria del Cavallino (Venezia)","o",,"Sanja Iveković","p",,,"DVD, video, colour, sound",,"Make up - Make down"
"2000
",,"01:10:00","Vídeos d’ocasió",,540,"todos los videos contenidos en este dvd forman parte de la sección malsons esènics dentro del ciclo video d'occasió.
babuin",,,,"buena","Rámon Colomina, Silvia Genovés, Toti Rovira, Lulu Martorell, Lucas Caraba, Antonio Ortega, Jorge Luis Marzo, Fito Rodriguez, Domingo Sanchéz Blanco  ","p, p, p, p, p, p, p, p, p, ","con y sin sonido","1","dvd","color y blanco y negro","MALSONS ESCE`NICS: Dr. Feo (2000), Determinación de personaje (2000), El show de walter ego y hugo nota (2000), boxeo-puerto rico (2000)"
,"051_FV7_C016_NI524","01:00:00","Arquitectures del discurs",,524,,"Babuin, digitalització (gener 2011)","Video Data Bank (The School - The Art Institute of Chicago)","o",,"Chip Lord","p","si","1/3","VHS","color","Mapping A City of Fragments v. 2"
