"any","Codi arxiu digital","duració","exposició","intal.lació","núm. inventari","observacions","préstec","productor",,"qualitat","Realització",,"so","status","suport","tipus","títol"
"dels anys 30 als 60","045_FV7_C016_NI403",,"Cultures d'arxiu",,403,"Material cinematográfico privado y familiar. 31 películas rodadas y montadas por la autora entre los años treinta a los setenta; los soportes varían entre 9,5 mm y 16 mm; las latas pertenecen a un conjunto depositado en el archivo de la Filmoteca de la Generalitat de Catalunya","Babuin, digitalització (gener 2011)","Filmoteca de la Generalitat","o",,"Filmoteca de la Generalitat","o","si","1/1","VHS","color","2"
"dels anys 30 als 60","045_FV7_C016_NI404",,"Cultures d'arxiu",,404,"Material cinematográfico privado y familiar. 31 películas rodadas y montadas por la autora entre los años treinta a los setenta; los soportes varían entre 9,5 mm y 16 mm; las latas pertenecen a un conjunto depositado en el archivo de la Filmoteca de la Generalitat de Catalunya","NE (20/7/03)
Babuin, digitalització (gener 2011)","Filmoteca de la Generalitat","o",,"Filmoteca de la Generalitat","o","si","1/1","VHS","color","3"
"1993-1997","047_FV5_C016_NI501","00:13:40","Eulàlia Valldosera. Obres 1990-2000",,501,,"Babuin, digitalització (desembre 2010)
DIGITALITZAT febrer 2011","Fundació Antoni Tàpies","o","màster","Fundació Antoni Tàpies","o","si","1/1","Betacam SP S","color","7 obres"
"1929-1936","032_FV7_C016_NI92","01:33:00","László Moholy-Nagy. Fotogrames 1922-1943","auditori",92,"Berliner Stilleben, 1931 ; Marseille Vieux Port, 1929 ;Lichtspiel schwarz-weß-grau, 1930 ; Großstadtzigeuner, 1932 ; Architekturkongress, 1933 ; Life of Lobster, 1936 ; The New Architecture at the London Zoo, 1936","Babuin, digitalització (gener 2011)",,,"regular (còpia sense fi a partir de màster de Gal. Alvensleben","László Moholy-Nagy","p","mut","còpia 1","VHS PAL SECAM","b/n","7 pel.lícules de Lázlo Moholy-Nagy"
"1967",,"00:44:20","Amb i contra el cinema. Entorn del Maig del 68","Institut Francès de Barcelona",714,"14-19 de maig de 2008",,,,,"Chris Marker, Mario Marret","p, p","V.O. Subtitulada en castellà","4.1","DVD b/n","Documental. PAL, 4/3. Stereo","À bientôt, j'espère."
"1989","022_FV7_C016_NI419","00:29:46","Els límits del museu","Museum Highlights",419,"està en anglès","Babuin, digitalització (gener 2011)",,,"bona","Andrea Fraser","p","mono",,"VHS","color","A Gallery Talk"
"1972-1978
",,,"Entusiasme","Archive Lounge. Part 2",619,,,"Neil Cummings, Marysia Lewandowska","p, p","buena",,,"con sonido","1","dvd","color y blanco y  negro","A. Wieczorek ,""sphere"", 1978; F.& J. Dzida "" fable"" 1971; F.& J. Dzida ""Celebration"" 1972; A. Sienkowsky ""xyz"" 1977; W. Czarnecki ""A familiar tale"" 1973; J. Piechura ""Rally"" 1973; M. Suchecki ""Echo"" 1977; T & P Wudzki ""Mirage"" 1977; J. Bujak ""Sinking"" 1978. "
"1995, 20 gener.",,,"En l’esperit de Fluxus","activitat - concert speech",814,,,"Fundació Antoni Tàpies","o",,,,,,,"color","Activitat - concert speech: Cinc ràdios i un lector de notícies"
"1995, 12 gener.",,,"En l’esperit de Fluxus","activitat - concert",815,,,"Fundació Antoni Tàpies","o",,"Juan Hidalgo","p",,,"V. 8 mm","color","Activitat - concert: Juan Hidalgo - Concierto ZAJ"
"1994, 16 desembre.",,,"En l’esperit de Fluxus","activitat - concert",811,,,"Fundació Antoni Tàpies","o",,,,,,"V. 8 mm","color","Activitat - concert: Philip Corner - Starting from the keyboard and not necessarily stopping there: a withinstascy"
"1995, 17 gener.",,,"En l’esperit de Fluxus","activitat - concert",813,,,"Fundació Antoni Tàpies","o",,,,,,"V. 8 mm","color","Activitat: Music of changes i Études australes, concert a càrrec de Jean- Pierre Dupuy"
"2001","049_FV7_C016_NI500","01:03:00","Insideout: jardí del cambalache",,500,"A la terrassa de la Fundació i al Parc de la Ciutadella.","Babuin, digitalització (gener 2011)","Fundació Antoni Tàpies","o",,"Fundació Antoni Tàpies","o","si","2/2","VHS","color","Activitats relacionades (nens i adults) a Insideout: jardí del cambalache."
"1982",,"00:03:25","Anna Maria Maiolino",,830,"Filmat en súper-8, editat en vídeo i sonoritzat el 2000
So: Paulo Humberto Moreira
Participació especial: Paulo Bruscky
",,,,"bona
","Anna Maria Maiolino","p","sí",,"DVD Loop","b/n","Ad Hoc"
"1972","011_FV3_C016_NI759","00:17:55","Hélio Oiticica",,759,"Muet","Babuin, digitalització (desembre 2010)
DIGITALITZAT febrer 2011",,,,"Hélio Oiticica","p",,,"U-matic","sense so, PAL","Agripina é Roma - Manhattan"
"2004",,"00:52:00",,,689,"original",,"Fundació Antoni Tàpies","o","bona","Daniel Hernández","p","V.O. català. Subtítols en anglès, castellà i francès",,"DVD","Documental","Alfabet Tàpies"
,"054_FV7_C016_NI784","01:30:00","Representacions àrabs contemporànies. Beirut  / Líban",,784,,"Babuin, digitalització (gener 2011)",,,,"Akram Zaatari","p",,,"VHS",,"All is well on the border"
"2001","049_FV7_C016_NI477","00:15:00","Insideout: jardí del cambalache",,477,"còpia utilitzada durant la exposició","Babuin, digitalització (gener 2011)","Fundació Antoni Tàpies","o",,"Fundació Antoni Tàpies","o","si","1/2","VHS","color","Amics del jardí botànic; Al calor del cambalache"
"2005 (tots)",,,"Representacions àrabs contemporànies. L’equació iraquiana",,688,"ubicació: despatx de Miquel, arxiu RAC",,,,"bona","Ammar Darwaza, Haris Pellapaisiotis","p, p",,,"DVD","Entrevista","An Artist With a View. Jawad Al-Assadi, Ammar Darwaza - 00:54:00
V.O. en àrab subtítols en anglès
Interview with Maath Al-Alousi, Haris Pellapaisiotis - 00:34:30
V.O. en anglès
Interview with Valentino, Haris Pellapaisiotis - 00:27:30
V.O.en anglès"
"2004",,"02:39:00","Representacions àrabs contemporànies. L’equació iraquiana",,684,"Documental
ubicació: ubicació: despatx de Miquel, arxiu RAC",,"Mirror Art Media (Jordania)","o",,"Sawsan Darwaza","p","V.O. en àrab, subtítols en anglès",,"DVD",,"An Artist With a View. Saad Salman - 55'
An Artist With a View. Hana Sadek - 46'
An Artist With a View. Shawki Abdul Amir - 57'"
"1996","045_FV7_C016_NI322",,"Cultures d’arxiu","Andalucía un siglo de fascinación",322,"Total dels 7 capítols: 9h","Babuin, digitalització (gener 2011)","Canal Sur TV","o","màster","Canal Sur TV","o","si","1/3","VHS","color","Andalucía un siglo de fascinación. ""Carmen y la libertad"""
"1996","045_FV7_C016_NI318",,"Cultures d’arxiu","Andalucía un siglo de fascinación",318,"Total dels 7 capítols: 9h","Babuin, digitalització (gener 2011)","Canal Sur TV","o","màster","Canal Sur TV","o","si","1/3","VHS","color","Andalucía un siglo de fascinación. ""Desde los más hondo I: Silverio"""
"1996","045_FV7_C016_NI319",,"Cultures d’arxiu","Andalucía un siglo de fascinación",319,"Total dels 7 capítols: 9h","Babuin, digitalització (gener 2011)","Canal Sur TV","o","màster","Canal Sur TV","o","si","1/3","VHS","color","Andalucía un siglo de fascinación. ""Desde los más hondo II: El museo japonés"""
"1996","045_FV7_C016_NI320",,"Cultures d’arxiu","Andalucía un siglo de fascinación",320,"Total dels 7 capítols: 9h","Babuin, digitalització (gener 2011)","Canal Sur TV","o","màster","Canal Sur TV","o","si","1/3","VHS","color","Andalucía un siglo de fascinación. ""El grito del Sur. Casas Viejas"""
"1996","045_FV7_C016_NI317",,"Cultures d’arxiu","Andalucía un siglo de fascinación",317,"Total dels 7 capítols: 9h","Babuin, digitalització (gener 2011)","Canal Sur TV","o","màster","Canal Sur TV","o","si","1/3","VHS","color","Andalucía un siglo de fascinación. ""El jardín de los poetas"""
"1996","045_FV7_C016_NI321",,"Cultures d’arxiu","Andalucía un siglo de fascinación",321,"Total dels 7 capítols: 9h","Babuin, digitalització (gener 2011)","Canal Sur TV","o","màster","Canal Sur TV","o","si","1/3","VHS","color","Andalucía un siglo de fascinación. ""Ojos Verdes"""
"1996","045_FV7_C016_NI316",,"Cultures d’arxiu","Andalucía un siglo de fascinación",316,"Total dels 7 capítols: 9h","Babuin, digitalització (gener 2011)","Canal Sur TV","o","màster","Canal Sur TV","o","si","1/3","VHS","color","Andalucía un siglo de fascinación. ""Paraisos"""
"1996","045_FV5_C017_NI374","00:02:55","Cultures d'arxiu","Andalucía, un siglo de fascinación",374,"és una sel·lecció per a premsa (Paraísos, 73 seg.; El grito del sur. ""Casas Viejas"", 53 seg.; Carmen y la libertad, 49 seg.","Babuin, digitalització (desembre 2010)
DIGITALITZAT febrer 2011",,,,,,"si","1/2","Betacam SP S","color","Andalucía, un siglo de fascinación"
